Labels,NQ D 600 nm 400 us Delta OD KV 1_75 Ar 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,2.12101702E-4,
40.00,1.42110453E-3,
80.00,1.09146768E-3,
120.00,-2.09400360E-3,
160.00,-1.21391809E-3,
200.00,2.08192947E-3,
240.00,6.51751936E-4,
280.00,7.62409822E-4,
320.00,5.41219895E-4,
360.00,1.01542355E-4,
400.00,9.81968245E-4,
440.00,-5.17142053E-6,
480.00,5.41425194E-4,
520.00,1.20159204E-3,
560.00,2.08049663E-3,
600.00,9.82855679E-4,
640.00,-2.09584599E-3,
680.00,7.62656913E-4,
720.00,-1.65856408E-3,
760.00,-1.11226947E-3,
800.00,2.07956834E-3,
840.00,-4.50390740E-4,
880.00,2.12743995E-4,
920.00,6.51266135E-4,
960.00,-2.28946199E-4,
1000.00,-3.34531622E-4,
1040.00,7.61864008E-4,
1080.00,-1.33116485E-3,
1120.00,8.71649361E-4,
1160.00,7.61134841E-4,
1200.00,6.52800780E-4,
1240.00,-3.38736572E-4,
1280.00,9.81274759E-4,
1320.00,4.31047345E-4,
1360.00,-9.92975896E-4,
1400.00,2.11714825E-4,
1440.00,8.70289980E-4,
1480.00,-1.43642956E-3,
1520.00,-1.65541901E-3,
1560.00,-6.68997818E-4,
1600.00,1.31142547E-3,
1640.00,2.08105007E-3,
1680.00,-6.70054811E-4,
1720.00,-3.35056015E-4,
1760.00,-2.26848017E-4,
1800.00,1.04016610E-4,
1840.00,6.50602044E-4,
1880.00,-5.52536047E-4,
1920.00,9.81720048E-4,
1960.00,-9.96831455E-4,
2000.00,-1.11026457E-3,
2040.00,-6.65701402E-4,
2080.00,-2.25519834E-4,
2120.00,7.60619820E-4,
2160.00,1.04364750E-4,
2200.00,-2.26782649E-4,
2240.00,-2.28112927E-4,
2280.00,-3.35482298E-4,
2320.00,6.51298848E-4,
2360.00,5.40266221E-4,
2400.00,-4.44597186E-4,
2440.00,-1.32402033E-3,
2480.00,1.53104356E-3,
2520.00,-5.51444282E-6,
2560.00,4.32110653E-4,
2600.00,1.86074874E-3,
2640.00,4.30781220E-4,
2680.00,1.31154421E-3,
2720.00,2.73904833E-3,
2760.00,1.53106870E-3,
2800.00,1.20158668E-3,
2840.00,1.03668390E-4,
2880.00,7.63531774E-4,
2920.00,6.50002621E-4,
2960.00,-3.38275742E-4,
3000.00,-1.65697432E-3,
3040.00,-2.28447549E-4,
3080.00,-4.48466511E-4,
3120.00,9.81748221E-4,
3160.00,-5.57652151E-4,
3200.00,-6.33190803E-6,
3240.00,1.53108407E-3,
3280.00,-5.56137587E-4,
3320.00,-6.67548375E-6,
3360.00,4.30248416E-4,
3400.00,-1.76411693E-3,
3440.00,2.11682112E-4,
3480.00,7.63201737E-4,
3520.00,3.23194516E-4,
3560.00,-3.37354490E-4,
3600.00,-3.35482706E-4,
3640.00,-6.63564075E-4,
3680.00,-6.70054811E-4,
3720.00,-5.57652325E-4,
3760.00,-2.28480261E-4,
3800.00,9.80894547E-4,
3840.00,3.62030929E-3,
3880.00,-5.59719221E-4,
3920.00,3.21793865E-4,
3960.00,-8.59262309E-6,
4000.00,2.10749771E-4,
4040.00,-1.55204674E-3,
4080.00,-7.80959090E-4,
4120.00,2.52157054E-3,
4160.00,2.40967888E-3,
4200.00,-1.10964093E-3,
4240.00,-1.32967404E-3,
4280.00,1.09169784E-3,
4320.00,-2.29780431E-4,
4360.00,4.30846820E-4,
4400.00,2.85218074E-3,
4440.00,5.41901041E-4,
4480.00,-8.81194428E-4,
4520.00,1.53112167E-3,
4560.00,-6.33179616E-6,
4600.00,5.42409194E-4,
4640.00,-1.20345430E-4,
4680.00,-6.36457753E-6,
4720.00,-1.18317461E-4,
4760.00,-1.16360075E-4,
4800.00,1.01192789E-4,
4840.00,-2.28047400E-4,
4880.00,1.53106381E-3,
4920.00,-1.76651578E-3,
4960.00,-6.65734231E-4,
5000.00,-4.49933781E-4,
5040.00,1.64109678E-3,
5080.00,1.01957266E-4,
5120.00,7.61532283E-4,
5160.00,2.11360486E-4,
5200.00,-4.45326850E-6,
5240.00,2.63048313E-3,
5280.00,-2.87011545E-3,
5320.00,-1.21391809E-3,
5360.00,1.09117141E-3,
5400.00,-7.75808352E-4,
5440.00,1.42120500E-3,
5480.00,8.71129741E-4,
5520.00,7.61167612E-4,
5560.00,2.19165324E-3,
5600.00,2.08113622E-3,
5640.00,-1.21658132E-3,
5680.00,1.09179632E-3,
5720.00,-8.14977011E-6,
5760.00,3.22673877E-4,
5800.00,-4.49999381E-4,
5840.00,3.22413514E-4,
5880.00,-1.00119691E-3,
5920.00,1.53106381E-3,
5960.00,1.09156640E-3,
6000.00,6.51863753E-4,
6040.00,-6.63564249E-4,
6080.00,1.53107150E-3,
6120.00,-1.44015939E-3,
6160.00,1.00908728E-4,
6200.00,3.21565778E-4,
6240.00,-1.19259203E-4,
6280.00,2.08041049E-3,
6320.00,-7.42865723E-6,
6360.00,-6.70021924E-4,
6400.00,1.85994990E-3,
6440.00,9.94754882E-5,
6480.00,-8.84713314E-4,
6520.00,2.15274049E-4,
6560.00,1.03319995E-4,
6600.00,1.86014362E-3,
6640.00,-7.78666988E-4,
6680.00,-7.76983739E-4,
6720.00,3.22087406E-4,
6760.00,-1.32337667E-3,
6800.00,7.62078736E-4,
6840.00,7.62904121E-4,
6880.00,-5.57619438E-4,
6920.00,9.80800367E-4,
6960.00,1.64095301E-3,
7000.00,4.31845052E-4,
7040.00,1.53108884E-3,
7080.00,1.53107638E-3,
7120.00,-6.67298969E-4,
7160.00,6.51929178E-4,
7200.00,-1.15454233E-4,
7240.00,-1.21723162E-3,
7280.00,-1.10695185E-3,
7320.00,-3.40582512E-4,
7360.00,1.31131872E-3,
7400.00,7.61649106E-4,
7440.00,-6.66788255E-4,
7480.00,7.60587049E-4,
7520.00,2.95944279E-3,
7560.00,-9.98714473E-4,
7600.00,3.20291379E-4,
7640.00,5.40948939E-4,
7680.00,-1.17266834E-4,
7720.00,-5.17130866E-6,
7760.00,-1.11490337E-3,
7800.00,2.08110339E-3,
7840.00,4.33534879E-4,
7880.00,9.82094556E-4,
7920.00,8.72111996E-4,
7960.00,8.71682132E-4,
8000.00,5.38287568E-4,
8040.00,-9.96204093E-4,
8080.00,-4.48589662E-6,
8120.00,6.50489936E-4,
