Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 10 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-6.24932349E-3,
40.00,-1.89799611E-2,
80.00,1.62162585E-3,
120.00,5.55245997E-3,
160.00,-3.56963556E-3,
200.00,-8.90794769E-3,
240.00,-1.27861397E-2,
280.00,1.59513056E-2,
320.00,-1.01659233E-2,
360.00,-1.38727101E-2,
400.00,-1.00197480E-3,
440.00,-4.94882604E-3,
480.00,-6.30309386E-3,
520.00,-6.14361186E-3,
560.00,-9.91111156E-4,
600.00,-4.81415121E-3,
640.00,8.10574461E-3,
680.00,-1.12462444E-2,
720.00,2.92462530E-4,
760.00,-1.39219491E-2,
800.00,3.47296009E-4,
840.00,1.07672252E-2,
880.00,-4.92599281E-3,
920.00,9.45096090E-3,
960.00,-4.97179665E-3,
1000.00,-3.46058886E-3,
1040.00,2.78247608E-4,
1080.00,-9.69579443E-4,
1120.00,-1.26938866E-2,
1160.00,5.49162598E-3,
1200.00,-4.88088280E-3,
1240.00,4.25502704E-3,
1280.00,-8.94293841E-3,
1320.00,2.93095852E-3,
1360.00,1.62458862E-3,
1400.00,-2.27683131E-3,
1440.00,1.05989221E-2,
1480.00,-4.92599281E-3,
1520.00,2.12167241E-2,
1560.00,-1.36788469E-2,
1600.00,1.60319153E-2,
1640.00,1.59914903E-2,
1680.00,-9.16813675E-4,
1720.00,1.61559728E-3,
1760.00,-1.14126224E-2,
1800.00,-9.97607410E-3,
1840.00,1.07428050E-2,
1880.00,-1.01659233E-2,
1920.00,6.81782980E-3,
1960.00,-3.64442193E-3,
2000.00,-2.21907464E-3,
2040.00,1.07918903E-2,
2080.00,-4.99481009E-3,
2120.00,-7.36539811E-3,
2160.00,-4.83626267E-3,
2200.00,2.93391244E-3,
2240.00,-7.63858343E-3,
2280.00,-9.48255998E-4,
2320.00,1.60319675E-2,
2360.00,-1.02045629E-2,
2400.00,-5.01806242E-3,
2440.00,-7.57655222E-3,
2480.00,-1.12462444E-2,
2520.00,-8.77017435E-3,
2560.00,2.93188868E-3,
2600.00,-8.75746191E-4,
2640.00,4.24515968E-3,
2680.00,3.20233143E-4,
2720.00,9.36972443E-3,
2760.00,-3.60677950E-3,
2800.00,2.12166272E-2,
2840.00,4.22558561E-3,
2880.00,-2.19056383E-3,
2920.00,-3.58807901E-3,
2960.00,1.63918629E-3,
3000.00,1.63046084E-3,
3040.00,1.73642840E-2,
3080.00,-1.01275174E-2,
3120.00,3.13341210E-4,
3160.00,5.49157802E-3,
3200.00,-7.33604142E-3,
3240.00,1.21739386E-2,
3280.00,-7.39512080E-3,
3320.00,1.20307188E-2,
3360.00,2.93091009E-3,
3400.00,8.18898901E-3,
3440.00,1.19468281E-2,
3480.00,2.92993733E-3,
3520.00,1.47035755E-2,
3560.00,-9.91111505E-4,
3600.00,5.57034323E-3,
3640.00,1.33792851E-2,
3680.00,5.54364733E-3,
3720.00,6.83043851E-3,
3760.00,4.22553718E-3,
3800.00,2.23157406E-2,
3840.00,1.44888368E-2,
3880.00,-9.48352332E-4,
3920.00,3.13341210E-4,
3960.00,-1.66301057E-2,
4000.00,2.93193734E-3,
4040.00,6.85588503E-3,
4080.00,-3.64442193E-3,
4120.00,4.21602046E-3,
4160.00,2.92800926E-3,
4200.00,1.31571246E-2,
4240.00,5.52608352E-3,
4280.00,1.84609313E-2,
4320.00,3.60730861E-4,
4360.00,-3.20838764E-2,
4400.00,2.13293098E-2,
4440.00,4.25512483E-3,
4480.00,6.88163983E-3,
4520.00,-1.01285498E-3,
4560.00,4.21597296E-3,
4600.00,1.61564641E-3,
4640.00,1.46671999E-2,
4680.00,2.13861391E-2,
4720.00,2.93188868E-3,
4760.00,2.92998576E-3,
4800.00,-2.20468198E-3,
4840.00,2.92897038E-3,
4880.00,2.92901881E-3,
4920.00,2.93086166E-3,
4960.00,1.20590199E-2,
5000.00,4.24525747E-3,
5040.00,-7.51531543E-3,
5080.00,4.25507594E-3,
5120.00,-2.30637845E-3,
5160.00,-3.51467473E-3,
5200.00,1.84608828E-2,
5240.00,1.32829109E-2,
5280.00,-1.80276576E-2,
5320.00,-1.12462444E-2,
5360.00,8.08949862E-3,
5400.00,-1.14973187E-2,
5440.00,5.57039259E-3,
5480.00,-3.55115766E-3,
5520.00,5.52608352E-3,
5560.00,-3.64442193E-3,
5600.00,-7.48501997E-3,
5640.00,-1.01659726E-2,
5680.00,2.92236032E-3,
5720.00,-7.48497341E-3,
5760.00,6.79278746E-3,
5800.00,-4.81415121E-3,
5840.00,1.47768417E-2,
5880.00,-7.57665047E-3,
5920.00,8.24012514E-3,
5960.00,1.63046084E-3,
6000.00,-4.99471184E-3,
6040.00,-1.16262026E-2,
6080.00,-7.60754710E-3,
6120.00,3.20184889E-4,
6160.00,9.49241407E-3,
6200.00,-9.69531189E-4,
6240.00,1.20590683E-2,
6280.00,4.26010415E-3,
6320.00,-2.38153338E-3,
6360.00,4.24022181E-3,
6400.00,-2.14870721E-2,
6440.00,-4.92599281E-3,
6480.00,6.79288339E-3,
6520.00,4.24012449E-3,
6560.00,-9.80167300E-4,
6600.00,3.54033313E-4,
6640.00,-3.66346398E-3,
6680.00,-9.27280227E-4,
6720.00,1.48138329E-2,
6760.00,2.93287309E-3,
6800.00,6.79278746E-3,
6840.00,6.75589591E-3,
6880.00,-1.00513920E-2,
6920.00,6.88168872E-3,
6960.00,-4.92594391E-3,
7000.00,-8.87321681E-3,
7040.00,-2.29156041E-3,
7080.00,-8.94293841E-3,
7120.00,-4.92599281E-3,
7160.00,4.23043501E-3,
7200.00,-1.14547955E-2,
7240.00,-9.58861667E-4,
7280.00,-9.69531189E-4,
7320.00,-1.26026869E-2,
7360.00,-1.00202346E-3,
7400.00,8.18893965E-3,
7440.00,1.06702223E-2,
7480.00,-1.66880004E-2,
7520.00,-2.30633002E-3,
7560.00,-8.73612519E-3,
7600.00,3.27084010E-4,
7640.00,-1.00192567E-3,
7680.00,-9.69482586E-4,
7720.00,-2.30623246E-3,
7760.00,-7.39507331E-3,
7800.00,-1.29267992E-2,
7840.00,-3.55110993E-3,
7880.00,-1.79655459E-2,
7920.00,9.49236564E-3,
7960.00,8.17214884E-3,
8000.00,-8.97824205E-3,
8040.00,8.13872367E-3,
8080.00,-8.87326524E-3,
