Sliced MOF 3 PBS Ar 300 700 nm 400us Delta OD 5 disparos

Labels,0.000 us,50.000 us,100.000 us,150.000 us,200.000 us,250.000 us,300.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,

300.00,1.07243063E-3,5.82046108E-4,1.14839862E-3,1.10593135E-3,1.29446492E-3,9.80823068E-4,1.57090498E-3,
310.00,2.01899558E-3,4.57217218E-4,4.96093184E-4,-6.96348725E-4,-1.26866950E-3,-2.88701756E-3,-3.15151690E-3,
320.00,9.95047623E-4,4.98708512E-4,8.24101269E-4,6.12890930E-4,8.59487744E-4,1.13033270E-3,4.68250422E-4,
330.00,1.70262449E-3,1.91206415E-3,1.62085437E-3,1.10584288E-3,1.46281801E-3,1.62047078E-3,4.71633248E-4,
340.00,1.88322482E-3,1.71007181E-3,1.57837092E-3,1.44163461E-3,1.36176462E-3,2.16462038E-4,2.38664681E-4,
350.00,2.15926510E-3,1.40882062E-3,1.68519595E-3,1.60764309E-3,1.36045832E-3,4.70487634E-4,8.34075094E-4,
360.00,1.38268084E-3,1.06407818E-3,1.64551032E-3,9.27612127E-4,4.51103493E-4,6.05542504E-4,5.43185160E-4,
370.00,9.72717768E-4,8.60805623E-4,8.17513152E-4,-2.75731029E-4,-6.67702057E-4,-9.53280251E-4,-1.43403700E-3,
380.00,6.68977620E-4,4.29451320E-4,2.99862091E-4,1.28888641E-4,1.64206183E-4,-6.39209975E-5,4.67573496E-4,
390.00,-1.68630423E-3,-1.31424994E-3,-1.20783586E-3,-7.50164094E-4,-2.63144611E-4,-2.87942297E-4,-2.17697001E-4,
400.00,-7.31074577E-3,-5.68058016E-3,-4.04642895E-3,-3.22625227E-3,-2.45845481E-3,-1.77046203E-3,-1.92710280E-3,
410.00,-2.95971315E-2,-2.31419336E-2,-1.76635720E-2,-1.43336076E-2,-1.10059902E-2,-8.87835678E-3,-7.17459340E-3,
420.00,-1.94856934E-2,-1.46911731E-2,-1.11418292E-2,-8.77925381E-3,-6.85621472E-3,-5.41320909E-3,-4.54615150E-3,
430.00,3.59330792E-3,3.13960435E-3,2.72563798E-3,2.73025292E-3,1.69776159E-3,1.63268228E-3,1.83117844E-3,
440.00,5.34333475E-3,3.68192140E-3,2.77918484E-3,1.74843345E-3,1.89104828E-3,7.58443901E-4,7.28214509E-4,
450.00,4.96234838E-3,3.79198464E-3,2.35300395E-3,1.43777905E-3,1.48330117E-3,6.63629209E-4,3.10617499E-4,
460.00,4.74578049E-3,3.54606216E-3,2.75681983E-3,2.25682231E-3,1.50258990E-3,1.06280914E-3,8.66941176E-4,
470.00,3.64049640E-3,3.15780635E-3,2.42676539E-3,1.86701620E-3,1.28482166E-3,1.14967767E-3,9.42854211E-4,
