MOF 1 PBS Ar 410 460 nm 400us Delta OD 10 disparos repetido

Labels,1 410.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 420.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 430.00 nm (LpTimeMap)(LpTimeMap)(MOF 1 PBS Ar 410 430 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),1 440.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),2 450.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),3 460.00 nm (LpTimeMap)(MOF 1 PBS Ar 440 460 nm 400us Delta OD 10 disparos repetido)(LpTimeMap),
Type,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,
Comment,,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,399960.0000,
Step,40.00,40.00,40.00,40.00,40.00,40.00,
Fixed/Offset, , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,
YAxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,

0.00,-2.58146767E-2,3.96568235E-3,1.61725539E-3,-6.71509362E-4,-1.67835780E-4,-7.42499658E-4,
40.00,-2.77369730E-2,3.91751016E-3,5.48820652E-4,2.59660324E-3,1.21380563E-5,-6.13075623E-4,
80.00,-2.58146767E-2,3.82317626E-3,-1.23537797E-3,3.25896544E-3,-1.04737014E-3,7.92014936E-4,
120.00,-1.16144065E-2,1.09472068E-3,-1.59118266E-3,1.50584639E-3,-1.75600743E-3,2.50072681E-5,
160.00,-1.50117325E-3,-1.55191985E-3,1.44423975E-3,1.07119069E-3,-1.40105176E-3,1.53157074E-4,
200.00,3.29827257E-2,-3.96141782E-2,-5.18966757E-4,-1.10721320E-3,-8.75933387E-4,6.63817977E-4,
240.00,-4.62806970E-2,-2.87464205E-2,2.51312507E-3,4.16789262E-4,-1.58177863E-3,5.36130217E-4,
280.00,5.44585735E-2,-9.92147066E-3,3.70171882E-4,1.50916365E-3,-2.63421307E-3,4.08412481E-4,
320.00,-3.85559499E-2,-2.09802948E-2,9.05935536E-4,-4.53980581E-4,-1.22262456E-3,2.49691620E-5,
360.00,-1.55748213E-2,1.99625418E-2,1.08432060E-3,-1.81685118E-5,-2.81131896E-3,-8.71372235E-4,
400.00,-5.94077893E-2,-1.54303228E-2,-8.79861240E-4,-6.74761657E-4,1.12587004E-5,-9.98723553E-4,
440.00,3.81744355E-2,3.73106939E-3,1.91714658E-4,2.81404518E-3,-1.66368889E-4,-1.12636993E-3,
480.00,-4.98492382E-2,-2.01369468E-2,-6.97376207E-4,3.03134578E-3,1.95244933E-3,-1.02312362E-4,
520.00,1.15043111E-2,1.21568225E-3,-2.49166857E-3,-1.10617548E-3,5.40289097E-4,-7.41056225E-4,
560.00,-2.35067792E-2,3.68581386E-3,-1.05956604E-3,-2.33439496E-4,-8.71954660E-4,-2.31941493E-4,
600.00,-1.67913772E-2,1.18203359E-2,1.26168574E-3,1.94021908E-3,1.42205833E-3,4.08316613E-4,
640.00,-8.98600742E-2,1.24167725E-2,-2.13036221E-3,-8.92617856E-4,1.87912985E-4,2.80595588E-4,
680.00,-3.66338752E-2,-2.65317112E-2,1.92722538E-4,-1.47368073E-5,3.63901985E-4,1.68514787E-3,
720.00,-4.10642512E-2,1.39119625E-2,-1.95237692E-3,1.98714435E-4,3.63875704E-4,1.17527053E-3,
760.00,6.66272044E-2,1.98168717E-2,5.49242308E-4,1.07128965E-3,-3.17042926E-3,-6.13151758E-4,
800.00,2.57045776E-2,-4.30307817E-3,1.44127989E-3,-1.97414006E-3,5.40000270E-4,4.08386666E-4,
840.00,-7.52735287E-2,-7.07411487E-3,1.26129889E-3,1.50696933E-3,-3.43160675E-4,-1.12584804E-3,
880.00,3.70012620E-3,1.47950631E-2,1.08434726E-3,1.50700181E-3,-1.92130543E-3,5.36206469E-4,
920.00,-5.54396622E-2,3.84745449E-2,-7.00351549E-4,1.50913105E-3,-1.04809401E-3,9.19568411E-4,
960.00,4.66477163E-2,-1.25701465E-2,-6.99766213E-4,1.07119069E-3,1.42180524E-3,1.51976827E-4,
1000.00,-9.42576379E-2,9.25094634E-3,-7.02243822E-4,1.28861051E-3,-2.09998130E-3,-1.01441205E-4,
1040.00,1.83212198E-2,-1.23496801E-2,9.05532506E-4,-4.55435744E-4,2.66109197E-3,7.91738741E-4,
1080.00,1.13347797E-2,-1.24584846E-2,1.40478796E-5,1.50700181E-3,-3.52036231E-3,7.91738741E-4,
1120.00,-7.21497834E-2,-7.07406411E-3,1.34104739E-5,-1.54669385E-3,-6.96351810E-4,1.52690671E-4,
