Labels,MOF 2 PBS Ar 420 nm 400us Delta OD 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-9.24483174E-5,
40.00,-5.23611146E-4,
80.00,3.39134567E-4,
120.00,-9.15690325E-5,
160.00,4.47384838E-4,
200.00,-1.06330798E-3,
240.00,-4.15872724E-4,
280.00,1.74369896E-3,
320.00,9.89202061E-4,
360.00,3.14884982E-3,
400.00,-9.20680031E-5,
440.00,8.77100218E-4,
480.00,-1.82093901E-3,
520.00,1.24388695E-4,
560.00,1.23944978E-4,
600.00,2.17629969E-3,
640.00,-8.46818672E-4,
680.00,-9.21994288E-5,
720.00,-1.81890104E-3,
760.00,-1.60036399E-3,
800.00,5.54204918E-4,
840.00,-3.08113144E-4,
880.00,-2.25213938E-3,
920.00,-2.00090566E-4,
960.00,-8.46818672E-4,
1000.00,1.20721967E-3,
1040.00,1.41833397E-3,
1080.00,-4.15709394E-4,
1120.00,1.30907947E-3,
1160.00,2.31414873E-4,
1200.00,5.53977618E-4,
1240.00,-7.39433512E-4,
1280.00,8.78721825E-4,
1320.00,3.40175669E-4,
1360.00,-9.57039534E-4,
1400.00,-7.40316464E-4,
1440.00,2.07428844E-3,
1480.00,7.72258150E-4,
1520.00,1.57372542E-5,
1560.00,3.40479281E-4,
1600.00,-1.38784014E-3,
1640.00,-3.08164192E-4,
1680.00,-2.00114649E-4,
1720.00,-5.23836236E-4,
1760.00,1.63598731E-3,
1800.00,2.32306382E-4,
1840.00,4.49215819E-4,
1880.00,6.62540260E-4,
1920.00,6.64800173E-4,
1960.00,-9.56286385E-4,
2000.00,3.40286031E-4,
2040.00,1.95917068E-3,
2080.00,-9.21323590E-5,
2120.00,9.87347797E-4,
2160.00,-3.07989656E-4,
2200.00,4.46613383E-4,
2240.00,2.28283554E-3,
2280.00,1.52154171E-5,
2320.00,5.55737468E-4,
2360.00,7.71976192E-4,
2400.00,4.47183760E-4,
2440.00,1.31333224E-3,
2480.00,3.38818703E-4,
2520.00,-9.24135747E-5,
2560.00,-5.23763825E-4,
2600.00,3.39038175E-4,
2640.00,-8.48314899E-4,
2680.00,8.80966661E-4,
2720.00,-8.46265350E-4,
2760.00,-4.16055176E-4,
2800.00,6.62475941E-4,
2840.00,1.19969144E-3,
2880.00,-4.15768242E-4,
2920.00,8.80380452E-4,
2960.00,-2.35827849E-3,
3000.00,1.23679289E-4,
3040.00,1.20357599E-3,
3080.00,-9.19632075E-5,
3120.00,-4.15813789E-4,
3160.00,1.74186390E-3,
3200.00,-1.99985647E-4,
3240.00,-4.16073919E-4,
3280.00,-5.24303527E-4,
3320.00,7.71662046E-4,
3360.00,1.85096252E-3,
3400.00,2.06740573E-3,
3440.00,-4.15800372E-4,
3480.00,-1.81768707E-3,
3520.00,8.79827072E-4,
3560.00,1.84886099E-3,
3600.00,7.70294864E-4,
3640.00,9.89169814E-4,
3680.00,5.56161802E-4,
3720.00,1.63784786E-3,
3760.00,8.79306404E-4,
3800.00,-1.38809520E-3,
3840.00,2.30494901E-4,
3880.00,-9.55714437E-4,
3920.00,1.09511835E-3,
3960.00,-6.31925825E-4,
4000.00,-9.19254817E-5,
4040.00,4.47481289E-4,
4080.00,1.63462653E-3,
4120.00,9.87986801E-4,
4160.00,1.57694121E-5,
4200.00,-1.27763674E-3,
4240.00,8.79827014E-4,
4280.00,-6.32487354E-4,
4320.00,-5.24343923E-4,
4360.00,1.09643966E-3,
4400.00,-8.49203265E-4,
4440.00,5.57176128E-4,
4480.00,-5.24303527E-4,
4520.00,-6.32092298E-4,
4560.00,5.53977618E-4,
4600.00,1.84889312E-3,
4640.00,5.53977618E-4,
4680.00,9.88258049E-4,
4720.00,1.59868305E-5,
4760.00,-3.08169663E-4,
4800.00,-2.00130700E-4,
4840.00,3.15471506E-3,
4880.00,-6.32191775E-4,
4920.00,-4.16028255E-4,
4960.00,-7.40633754E-4,
5000.00,3.39560705E-4,
5040.00,1.52475031E-5,
5080.00,-3.08183022E-4,
5120.00,-7.39905459E-4,
5160.00,1.09485292E-3,
5200.00,5.56390209E-4,
5240.00,8.79306288E-4,
5280.00,-3.08062125E-4,
5320.00,3.39386461E-4,
5360.00,-2.35778256E-3,
5400.00,-3.07850569E-4,
5440.00,5.55377861E-4,
5480.00,-7.39591604E-4,
5520.00,-3.08037939E-4,
5560.00,9.85531369E-4,
5600.00,6.64480205E-4,
5640.00,6.65214728E-4,
5680.00,4.47956350E-4,
5720.00,-8.48314899E-4,
5760.00,-5.23683440E-4,
5800.00,-9.55534750E-4,
5840.00,8.79550527E-4,
5880.00,-1.49589521E-3,
5920.00,-2.00122697E-4,
5960.00,-2.00090566E-4,
6000.00,1.56782426E-5,
6040.00,5.55377919E-4,
6080.00,-8.48072930E-4,
6120.00,1.20218133E-3,
6160.00,-1.27893488E-3,
6200.00,9.87076783E-4,
6240.00,-2.00114649E-4,
6280.00,-9.20625534E-5,
6320.00,2.31447077E-4,
6360.00,-1.99945454E-4,
6400.00,-1.60376495E-3,
6440.00,2.28652824E-3,
6480.00,-3.07938782E-4,
6520.00,1.63323572E-3,
6560.00,4.47151571E-4,
6600.00,1.56755723E-5,
6640.00,3.39670689E-4,
6680.00,-5.24594332E-4,
6720.00,-6.32025127E-4,
6760.00,-2.25163717E-3,
6800.00,1.09680241E-3,
6840.00,-9.17966026E-5,
6880.00,1.73928635E-3,
6920.00,1.59250576E-5,
6960.00,1.09515048E-3,
7000.00,-3.08075512E-4,
7040.00,5.55182109E-4,
7080.00,2.31709797E-4,
7120.00,1.09449087E-3,
7160.00,-9.21726532E-5,
7200.00,1.41830184E-3,
7240.00,-5.24263072E-4,
7280.00,9.85897961E-4,
7320.00,-7.41488533E-4,
7360.00,8.78997904E-4,
7400.00,-9.19632221E-5,
7440.00,2.31235390E-4,
7480.00,3.38567392E-4,
7520.00,2.06398033E-3,
7560.00,-2.00090522E-4,
7600.00,2.17693113E-3,
7640.00,1.20328332E-3,
7680.00,3.40732397E-4,
7720.00,-9.25498243E-5,
7760.00,1.65764686E-5,
7800.00,3.39322054E-4,
7840.00,7.72726082E-4,
7880.00,1.54934442E-5,
7920.00,-1.60175434E-3,
7960.00,-1.49756449E-3,
8000.00,-9.21350656E-5,
8040.00,-9.21405008E-5,
8080.00,7.72193831E-4,
8120.00,5.55410050E-4,
