Labels,MOF 1 Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-2.97689321E-3,
4.00,1.14108843E-3,
8.00,1.95978419E-3,
12.00,-3.01189115E-3,
16.00,-4.11817618E-3,
20.00,-1.09798717E-3,
24.00,-3.74431303E-3,
28.00,8.10094061E-4,
32.00,-2.61080265E-3,
36.00,7.69966282E-4,
40.00,-1.09169306E-3,
44.00,-3.36527184E-4,
48.00,1.14643876E-3,
52.00,-7.90078600E-4,
56.00,-6.36349851E-3,
60.00,2.08390975E-5,
64.00,-3.31329386E-4,
68.00,-3.76207568E-3,
72.00,1.52926391E-3,
76.00,-2.60485616E-3,
80.00,-2.60016648E-3,
84.00,7.41646218E-4,
88.00,-2.59781117E-3,
92.00,3.98239325E-4,
96.00,-1.46209460E-3,
100.00,-1.86673703E-3,
104.00,-1.51330198E-3,
108.00,-1.07733894E-3,
112.00,-7.57575210E-4,
116.00,-4.16676700E-3,
120.00,4.23313941E-5,
124.00,-1.49961573E-3,
128.00,-1.86861772E-3,
132.00,-1.88082852E-3,
136.00,-1.47364673E-3,
140.00,3.98057484E-4,
144.00,-2.63216579E-3,
148.00,2.67881341E-3,
152.00,-1.86529767E-3,
156.00,4.27867373E-4,
160.00,-1.48187217E-3,
164.00,1.58219808E-3,
168.00,-4.48841229E-3,
172.00,3.05503636E-5,
176.00,8.08510114E-4,
180.00,-2.24489812E-3,
184.00,3.94522271E-4,
188.00,7.62572046E-4,
192.00,4.15586372E-4,
196.00,1.16632448E-3,
200.00,-7.24707439E-4,
204.00,-1.86496752E-3,
208.00,4.19527991E-3,
212.00,-7.59224407E-4,
216.00,-1.87449949E-3,
220.00,-3.74059100E-3,
224.00,-2.24212557E-3,
228.00,1.51776534E-3,
232.00,1.17695541E-3,
236.00,1.17695995E-3,
240.00,-6.42617140E-3,
244.00,4.21947538E-4,
248.00,-1.13908842E-3,
252.00,-3.40908184E-4,
256.00,3.68338195E-4,
260.00,4.44573052E-5,
264.00,-2.59990525E-3,
268.00,5.03500778E-5,
272.00,-3.47508467E-4,
276.00,-3.36216250E-3,
280.00,1.31796005E-5,
284.00,-3.81568476E-4,
288.00,3.02354898E-3,
292.00,-3.43879190E-4,
296.00,-3.39542603E-4,
300.00,-2.20833882E-3,
304.00,4.20409720E-3,
308.00,7.90545833E-4,
312.00,-7.49477244E-4,
316.00,1.52663712E-3,
320.00,-7.05179351E-4,
324.00,-3.77010019E-3,
328.00,8.10608210E-4,
332.00,5.73954312E-3,
336.00,5.62580608E-5,
340.00,-2.28277524E-3,
344.00,2.65444978E-3,
348.00,2.54301322E-5,
352.00,3.44602554E-3,
356.00,-2.22246395E-3,
360.00,-7.32192944E-4,
364.00,-2.62875226E-3,
368.00,7.87623227E-4,
372.00,1.94112130E-3,
376.00,5.70070464E-3,
380.00,1.54013827E-3,
384.00,1.91614451E-3,
388.00,-3.36849084E-3,
392.00,7.84901087E-4,
396.00,-6.01462042E-3,
400.00,-1.09668041E-3,
404.00,-3.28369089E-4,
408.00,-7.56882597E-4,
412.00,2.67100683E-3,
416.00,-3.01164901E-3,
420.00,1.57112154E-5,
424.00,-3.38965957E-3,
428.00,-2.60265009E-3,
432.00,-1.12021703E-3,
436.00,4.92824614E-3,
440.00,1.15564675E-3,
444.00,4.55896324E-3,
448.00,4.13400866E-3,
452.00,1.14381989E-3,
456.00,4.07158252E-4,
460.00,-1.87389087E-3,
464.00,3.82643472E-3,
468.00,-3.25426721E-4,
472.00,1.89908745E-3,
476.00,2.65848055E-3,
480.00,-1.51327380E-3,
484.00,1.15080539E-3,
488.00,1.15345465E-3,
492.00,-3.40593909E-3,
496.00,1.87358086E-3,
500.00,1.91194168E-3,
504.00,3.86081345E-4,
508.00,2.63670250E-3,
512.00,1.90181495E-3,
516.00,-3.40330997E-3,
520.00,2.27353559E-3,
524.00,1.52335106E-3,
528.00,7.70824845E-4,
532.00,-1.12433301E-3,
536.00,2.28213402E-3,
540.00,4.13286383E-4,
544.00,-3.03234858E-3,
548.00,5.73169719E-3,
552.00,1.18275639E-3,
556.00,2.68576341E-3,
560.00,2.27783271E-3,
564.00,2.38230805E-5,
568.00,1.52426818E-3,
572.00,3.95174109E-4,
576.00,-1.13163469E-3,
580.00,3.43067618E-3,
584.00,3.39756254E-3,
588.00,1.13893882E-3,
592.00,1.54073036E-3,
596.00,7.55353074E-4,
600.00,3.78591288E-3,
604.00,1.20648078E-3,
608.00,7.70377286E-4,
612.00,-3.52802192E-4,
616.00,1.88603171E-3,
620.00,4.15811641E-3,
624.00,-2.22132052E-3,
628.00,3.03743081E-3,
632.00,-2.19592219E-3,
636.00,3.04632052E-3,
640.00,-3.00017814E-3,
644.00,-1.10402063E-3,
648.00,7.79502618E-4,
652.00,5.30113978E-3,
656.00,-1.10243994E-3,
660.00,-2.20760773E-3,
664.00,-1.07383425E-3,
668.00,-2.25388072E-3,
672.00,-1.46018073E-3,
676.00,1.15214102E-3,
680.00,2.25315707E-5,
684.00,-1.52755482E-3,
688.00,2.32868781E-3,
692.00,-1.11985928E-3,
696.00,7.55629153E-4,
700.00,4.20006737E-3,
704.00,1.53458130E-3,
708.00,1.54484005E-3,
712.00,4.00965568E-4,
716.00,3.55901029E-5,
720.00,-7.34216184E-4,
724.00,-3.75342136E-3,
728.00,7.70154118E-4,
732.00,3.89492721E-4,
736.00,1.14056445E-3,
740.00,3.40467598E-3,
744.00,1.93683419E-3,
748.00,2.67404155E-3,
752.00,-4.16717166E-3,
756.00,-3.32823442E-3,
760.00,-1.45071070E-3,
764.00,-5.26490342E-3,
768.00,-1.49611523E-3,
772.00,-4.13862756E-3,
776.00,-1.07153655E-5,
780.00,-2.98792124E-3,
784.00,-2.22111889E-3,
788.00,-7.22669414E-4,
792.00,-7.12524075E-3,
796.00,-5.27102640E-3,
800.00,6.47564465E-3,
804.00,7.96936161E-4,
808.00,-1.08791899E-3,
812.00,3.34437063E-5,
816.00,2.12875439E-5,
820.00,3.05866450E-3,
824.00,3.03522195E-3,
828.00,-1.89651048E-3,
832.00,-1.47169258E-3,
836.00,8.00220470E-4,
840.00,-3.73832136E-3,
844.00,-2.99404631E-3,
848.00,-7.55021465E-4,
852.00,1.53485220E-3,
856.00,-2.21357006E-3,
860.00,-7.13261019E-4,
