Labels,MOF 2 O2  420 nm 20 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,19998.0000,
Step,2.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-7.18102820E-5,
2.00,-8.01361821E-5,
4.00,-5.95277990E-4,
6.00,2.02676893E-4,
8.00,-1.94890355E-3,
10.00,1.82183343E-3,
12.00,-3.41924082E-4,
14.00,2.05994723E-3,
16.00,-6.55459298E-5,
18.00,4.39864671E-4,
20.00,2.59081577E-3,
22.00,1.26891583E-3,
24.00,1.51922135E-3,
26.00,1.26474001E-3,
28.00,7.27147621E-4,
30.00,1.74048718E-3,
32.00,2.06616265E-3,
34.00,-1.38975354E-3,
36.00,1.56510517E-3,
38.00,-8.63048190E-4,
40.00,-3.52321262E-3,
42.00,1.53378583E-3,
44.00,-3.33603210E-4,
46.00,1.79786424E-4,
48.00,1.79260597E-3,
50.00,-8.60990258E-4,
52.00,1.53589505E-3,
54.00,7.29213061E-4,
56.00,-1.14303268E-3,
58.00,7.12570443E-4,
60.00,2.86280015E-3,
62.00,2.61175912E-3,
64.00,2.30225781E-3,
66.00,-1.15347374E-3,
68.00,1.52960746E-3,
70.00,1.28144352E-3,
72.00,1.78639439E-3,
74.00,-8.58892745E-4,
76.00,-8.44368245E-4,
78.00,-1.15549064E-3,
80.00,-1.65703450E-3,
82.00,1.27313146E-3,
84.00,-5.74606413E-4,
86.00,-8.58892745E-4,
88.00,4.60704643E-4,
90.00,7.16740964E-4,
92.00,-8.75514233E-4,
94.00,-1.15758670E-3,
96.00,-3.31503135E-4,
98.00,1.88156977E-4,
100.00,-2.17449269E-3,
102.00,1.24807679E-3,
104.00,-8.63606765E-5,
106.00,-1.92616449E-3,
108.00,-1.42086053E-3,
110.00,-8.71398486E-4,
112.00,-6.20225153E-4,
114.00,-5.99475577E-4,
116.00,-7.38322997E-5,
118.00,4.96075372E-4,
120.00,-1.69637776E-3,
122.00,4.50304389E-4,
124.00,1.01044727E-3,
126.00,1.78424420E-3,
128.00,4.41928772E-4,
130.00,-8.71358905E-4,
132.00,-5.89021191E-4,
134.00,1.78635458E-3,
136.00,2.61798245E-3,
138.00,-6.11909607E-4,
140.00,7.43830518E-4,
142.00,-4.89330632E-5,
144.00,7.12570443E-4,
146.00,4.64833080E-4,
148.00,-1.13271002E-3,
150.00,-3.73106159E-4,
152.00,1.51711237E-3,
154.00,-6.97486103E-5,
156.00,-8.22374568E-5,
158.00,1.80092803E-3,
160.00,-7.80349001E-5,
162.00,1.54214283E-3,
164.00,1.50879577E-3,
166.00,2.05365219E-3,
168.00,-3.24263354E-3,
170.00,1.88117294E-4,
172.00,4.77297959E-4,
174.00,-5.84942347E-4,
176.00,1.48165843E-3,
178.00,4.69001243E-4,
180.00,-3.46084475E-4,
182.00,1.79471634E-3,
184.00,4.77297959E-4,
186.00,-1.65288663E-3,
188.00,-7.38719464E-5,
190.00,-1.89718616E-3,
192.00,-1.70878042E-3,
194.00,-3.12879565E-4,
196.00,2.00982811E-3,
198.00,-1.40635471E-3,
200.00,7.25082122E-4,
202.00,-3.14979698E-4,
204.00,-1.40014919E-3,
206.00,7.45816622E-4,
208.00,1.54214283E-3,
210.00,-8.42594236E-5,
212.00,-3.50244809E-4,
214.00,-1.91578153E-3,
216.00,-1.17834925E-3,
218.00,7.33383757E-4,
220.00,-3.93906172E-4,
222.00,-1.11819466E-3,
224.00,-5.95357211E-4,
226.00,1.23765762E-3,
228.00,-1.43327098E-3,
230.00,1.81558158E-3,
232.00,-6.11949188E-4,
234.00,-1.16798794E-3,
236.00,-1.67769415E-3,
238.00,-5.97376784E-4,
240.00,-3.37803271E-4,
242.00,1.75621040E-4,
244.00,7.27147621E-4,
246.00,-6.28500944E-4,
248.00,-1.65288663E-3,
250.00,1.54843042E-3,
252.00,9.37518722E-4,
254.00,7.29213061E-4,
256.00,1.52546889E-3,
258.00,-1.65908865E-3,
260.00,4.77337657E-4,
262.00,-1.38149224E-3,
264.00,-1.65904919E-3,
266.00,2.04779542E-4,
268.00,-6.07751776E-4,
270.00,4.27361170E-4,
272.00,-1.39805430E-3,
274.00,-1.67564000E-3,
276.00,-5.82883076E-4,
278.00,6.85482752E-4,
280.00,-5.09948368E-5,
282.00,-5.82803914E-4,
284.00,-2.46605370E-3,
286.00,-6.03593886E-4,
288.00,1.94345732E-4,
290.00,2.06405111E-3,
292.00,4.75233683E-4,
294.00,-6.09810872E-4,
296.00,1.90219886E-4,
298.00,4.56496869E-4,
300.00,-1.40220451E-3,
302.00,-5.97376784E-4,
304.00,-4.68316284E-5,
306.00,-5.84981928E-4,
308.00,-9.10773408E-4,
310.00,-8.38154578E-4,
312.00,1.25229219E-3,
314.00,7.16740964E-4,
316.00,7.35449255E-4,
318.00,-6.05692621E-4,
320.00,-1.37730222E-3,
322.00,-2.23446172E-3,
324.00,7.41725264E-4,
326.00,-2.19516712E-3,
328.00,4.44032601E-4,
330.00,-8.42990703E-5,
332.00,4.54432709E-4,
334.00,2.46318930E-4,
336.00,-2.74090888E-3,
338.00,-8.85882590E-4,
340.00,-5.82843495E-4,
342.00,4.21129400E-4,
344.00,2.04942888E-3,
346.00,-3.10779404E-4,
348.00,-1.96133857E-3,
350.00,1.53593475E-3,
352.00,2.34200503E-3,
354.00,6.91758061E-4,
356.00,-6.76076234E-5,
358.00,4.14897717E-4,
360.00,-4.26683800E-5,
362.00,7.29213061E-4,
364.00,-3.33642820E-4,
366.00,-1.12234754E-3,
368.00,1.50875596E-3,
370.00,2.59703887E-3,
372.00,-3.41924082E-4,
374.00,-3.25282163E-4,
376.00,2.08915281E-3,
378.00,-1.39805430E-3,
380.00,1.86054400E-4,
382.00,-8.77572107E-4,
384.00,-5.51976555E-5,
386.00,-3.19100713E-4,
388.00,9.99994110E-4,
390.00,-3.50205170E-4,
392.00,-8.73416779E-4,
394.00,1.52968708E-3,
396.00,-1.39390398E-3,
398.00,1.96408670E-4,
400.00,-1.16383540E-3,
402.00,-6.14008284E-4,
404.00,-3.48184461E-4,
406.00,-9.08676186E-4,
408.00,-3.46124085E-4,
410.00,4.54432709E-4,
412.00,-5.99475577E-4,
414.00,-8.87940347E-4,
416.00,7.25082122E-4,
418.00,1.67290389E-4,
420.00,1.55049982E-3,
422.00,-5.09948368E-5,
424.00,-1.41046545E-3,
426.00,-2.49913381E-3,
428.00,-6.16067380E-4,
