Labels,MOF 3 O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,1.65666023E-3,
1.00,5.61966677E-4,
2.00,-4.95325367E-4,
3.00,3.66851164E-4,
4.00,2.27400637E-3,
5.00,-3.07177455E-4,
6.00,-1.72617415E-3,
7.00,1.65172562E-4,
8.00,-1.14168483E-3,
9.00,-7.13087386E-4,
10.00,1.43288530E-3,
11.00,-1.53362949E-3,
12.00,5.10703307E-4,
13.00,1.41132646E-3,
14.00,7.86997669E-4,
15.00,3.60260514E-4,
16.00,-9.43913532E-4,
17.00,-6.78421406E-4,
18.00,-7.93202707E-5,
19.00,1.87064591E-3,
20.00,1.82584056E-3,
21.00,-2.97647966E-5,
22.00,1.55275469E-4,
23.00,-1.17131765E-3,
24.00,7.60483963E-4,
25.00,1.50327018E-4,
26.00,-9.15931596E-4,
27.00,5.43763512E-4,
28.00,-2.80760345E-4,
29.00,-2.34534382E-4,
30.00,-3.24216881E-3,
31.00,6.21534418E-4,
32.00,7.37317372E-4,
33.00,-1.74095517E-3,
34.00,1.05017086E-3,
35.00,5.91717951E-4,
36.00,-7.34508445E-4,
37.00,-7.26267288E-4,
38.00,-8.66408634E-4,
39.00,-4.78833826E-4,
40.00,-2.98959669E-4,
41.00,-7.06481573E-4,
42.00,-1.10871880E-3,
43.00,1.48656531E-4,
44.00,-2.74147926E-4,
45.00,2.05817563E-3,
46.00,7.35676149E-4,
47.00,1.87396852E-3,
48.00,7.86997669E-4,
49.00,2.28892453E-3,
50.00,-1.11032161E-3,
51.00,-7.22995959E-4,
52.00,-5.95050587E-5,
53.00,-1.96797377E-3,
54.00,-8.74678546E-4,
55.00,-5.18425135E-4,
56.00,-1.14665006E-3,
57.00,-1.52044278E-3,
58.00,-2.82429159E-4,
59.00,-4.98629932E-4,
60.00,3.56949458E-4,
61.00,-8.96091631E-4,
62.00,3.53575393E-4,
63.00,-1.35579368E-3,
64.00,-5.12195766E-5,
65.00,1.44613080E-3,
66.00,1.03362114E-3,
67.00,9.78986267E-4,
68.00,3.40363069E-4,
69.00,-1.12678914E-3,
70.00,-2.32865379E-4,
71.00,1.38644991E-3,
72.00,-9.02726024E-4,
73.00,9.82333673E-4,
74.00,-7.93517756E-5,
75.00,1.61358470E-3,
76.00,1.04025356E-3,
77.00,2.03323038E-3,
78.00,-1.09057139E-4,
79.00,7.63829623E-4,
80.00,8.01865011E-4,
81.00,4.42887191E-4,
82.00,-8.97758116E-4,
83.00,1.00879767E-3,
84.00,1.42128381E-3,
85.00,1.17936882E-3,
86.00,5.35529747E-4,
87.00,7.75413471E-4,
88.00,3.50327464E-4,
89.00,-5.12510815E-5,
90.00,3.91669426E-4,
91.00,1.38759817E-4,
92.00,-2.93984835E-4,
93.00,7.53887347E-4,
94.00,1.53636487E-4,
95.00,1.02041964E-3,
96.00,1.21747213E-3,
97.00,5.53701015E-4,
98.00,-2.74179416E-4,
99.00,5.78529958E-4,
100.00,-9.50484304E-4,
101.00,-1.94821320E-3,
102.00,-3.08846182E-4,
103.00,-9.04329587E-4,
104.00,-1.30968203E-3,
105.00,-2.15045013E-3,
106.00,-1.39200734E-3,
107.00,-1.10871880E-3,
108.00,-2.60985806E-4,
109.00,-1.13012036E-3,
110.00,-1.29981828E-3,
111.00,1.21251156E-3,
112.00,2.02496815E-3,
113.00,-5.78668769E-5,
114.00,1.20423350E-3,
115.00,3.46953428E-4,
116.00,-7.10981694E-5,
117.00,-9.91345732E-5,
118.00,-6.76785596E-4,
119.00,1.41467724E-3,
120.00,9.69039043E-4,
121.00,2.03326205E-3,
122.00,1.43676632E-4,
123.00,3.81704100E-4,
124.00,1.16613135E-3,
125.00,3.50295915E-4,
126.00,5.76857827E-4,
127.00,-7.27363004E-5,
128.00,-1.34589954E-3,
129.00,-4.82138479E-4,
130.00,1.13955997E-4,
131.00,2.27730023E-3,
132.00,7.95267755E-4,
133.00,8.36620515E-4,
134.00,-2.40019220E-3,
135.00,8.33337428E-4,
136.00,-2.97259423E-4,
137.00,-8.09898702E-5,
138.00,-1.94002641E-3,
139.00,7.83651776E-4,
140.00,-1.36242108E-3,
141.00,-6.81724574E-4,
142.00,-6.81724574E-4,
143.00,-1.15321775E-3,
144.00,-2.67566909E-4,
145.00,3.28822352E-4,
146.00,-4.54095338E-4,
147.00,-1.53526221E-3,
148.00,-1.10215042E-3,
149.00,-5.95365636E-5,
150.00,3.53638461E-4,
151.00,-1.34922902E-3,
152.00,5.43763512E-4,
153.00,5.73545112E-4,
154.00,-9.02694592E-4,
155.00,3.45345237E-4,
156.00,-4.98661364E-4,
157.00,-6.11747382E-5,
158.00,-1.96794234E-3,
159.00,-3.07208946E-4,
160.00,1.42624683E-3,
161.00,-7.27363004E-5,
162.00,5.75185695E-4,
163.00,1.65172562E-4,
164.00,7.68753525E-4,
165.00,1.22244790E-4,
166.00,-8.77980201E-4,
167.00,9.97239258E-4,
168.00,5.33857790E-4,
169.00,3.91606358E-4,
170.00,1.85571029E-3,
171.00,3.55278200E-4,
172.00,5.13983949E-4,
173.00,1.22410734E-3,
174.00,-1.56816456E-3,
175.00,1.20751944E-3,
176.00,-2.87372648E-4,
177.00,9.69102199E-4,
178.00,1.02866266E-3,
179.00,1.42069199E-4,
180.00,5.60326152E-4,
181.00,1.00052357E-3,
182.00,9.87260020E-4,
183.00,-5.13484236E-4,
184.00,7.43945246E-4,
185.00,-2.72510573E-4,
186.00,1.87061424E-3,
187.00,-8.75737169E-5,
188.00,-2.72542064E-4,
189.00,3.53606913E-4,
190.00,-3.02202738E-4,
191.00,3.75113246E-4,
192.00,3.56917939E-4,
193.00,1.84242055E-3,
194.00,1.20587647E-3,
195.00,9.87291569E-4,
196.00,1.46986044E-4,
197.00,1.15949695E-3,
198.00,-2.22977134E-4,
199.00,7.68785074E-4,
200.00,-2.64566970E-5,
201.00,-9.25194108E-5,
202.00,-2.89009971E-4,
203.00,1.89979299E-4,
204.00,7.62156793E-4,
205.00,-1.75250345E-3,
206.00,-9.42247221E-4,
207.00,-4.96128669E-5,
208.00,-6.78452896E-4,
209.00,1.37089373E-4,
210.00,-4.70587809E-4,
211.00,-7.31205684E-4,
212.00,7.80337490E-4,
213.00,-1.31134689E-3,
214.00,1.42006160E-4,
215.00,-2.75848288E-4,
