Sliced MOF 1 Air 300 700 nm 40 us Delta OD

Labels,0.000 us,0.500 us,1.000 us,1.500 us,2.000 us,2.500 us,3.000 us,3.500 us,4.000 us,4.500 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

300.00,4.66757827E-3,7.96685228E-4,2.90151685E-3,2.19823676E-3,9.62483173E-4,-1.04138308E-5,5.17084118E-5,3.38321988E-4,-1.40953853E-4,-1.72535540E-4,
310.00,6.01364067E-3,4.18571103E-3,3.11782863E-3,1.47711055E-3,1.92123221E-3,9.91542940E-4,1.59936945E-3,1.84954668E-3,6.14863005E-4,4.67126403E-4,
320.00,9.78516508E-3,7.46294064E-3,5.36357518E-3,4.30079689E-3,3.03963944E-3,2.45215674E-3,1.57660851E-3,1.85257802E-3,1.02842390E-3,1.25667476E-3,
330.00,1.26776062E-2,8.98915343E-3,6.64657867E-3,6.14916580E-3,4.36110934E-3,2.90111988E-3,2.95932172E-3,2.14389549E-3,2.06888979E-3,1.21611799E-3,
340.00,1.15230223E-2,8.81127641E-3,6.47110073E-3,5.12786862E-3,3.72851919E-3,2.93559604E-3,2.22206186E-3,1.94041082E-3,1.58434722E-3,8.37139727E-4,
350.00,8.76676384E-3,6.95691677E-3,5.43908030E-3,3.94000905E-3,3.27448477E-3,2.73230136E-3,2.21719872E-3,1.27620704E-3,1.64394884E-3,1.32077956E-3,
360.00,6.28507743E-3,4.75799805E-3,3.69344489E-3,2.89454148E-3,2.17747828E-3,2.02631904E-3,1.33819238E-3,9.77724674E-4,6.72997208E-4,5.78578503E-4,
370.00,5.30455448E-3,3.88591620E-3,2.83515523E-3,2.66902242E-3,2.00389489E-3,1.63910922E-3,1.28367043E-3,4.66312718E-4,3.78484721E-4,7.90362421E-4,
