Sliced MOF 2 O2  300 700 nm 10 us Delta OD

Labels,0.000 ns,500.000 ns,1000.000 ns,1500.000 ns,2000.000 ns,2500.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,

300.00,1.03461486E-3,3.64263018E-4,3.36982775E-4,2.65326762E-5,1.70235668E-4,1.55914589E-4,
310.00,1.70720543E-3,4.07612562E-4,2.44031282E-4,-2.10302329E-4,4.18086798E-4,3.65372398E-4,
320.00,2.06057611E-3,8.25529045E-4,2.80663691E-4,1.74343295E-4,9.55835276E-5,-5.97913531E-5,
330.00,2.54006125E-3,8.45899340E-4,3.91764072E-4,-2.91766482E-5,-6.38753263E-5,7.68285099E-6,
340.00,2.35087355E-3,9.55094758E-4,5.18687477E-4,4.91819868E-4,2.86482391E-4,9.01061139E-5,
350.00,1.70425489E-3,6.83288439E-4,1.67663718E-4,1.42693636E-4,3.53885698E-4,2.87926377E-4,
360.00,1.34578045E-3,2.15378124E-4,7.30851534E-5,-1.31731475E-4,-3.04576039E-4,7.78314425E-5,
370.00,1.06503477E-3,3.67373694E-4,1.53794434E-4,3.40523635E-4,3.75502306E-4,9.96156887E-5,
380.00,6.61103171E-4,1.25259336E-4,9.50879694E-5,1.52157852E-4,-2.65436097E-6,1.82817341E-4,
390.00,-2.21540965E-3,-6.91447756E-4,-2.19164984E-4,-4.17194897E-5,8.57896375E-5,-4.62041644E-5,
400.00,-8.15844070E-3,-2.44985777E-3,-5.91046934E-4,-6.07378606E-4,3.38282989E-4,5.29002791E-5,
410.00,-2.89162882E-2,-9.08825453E-3,-2.88575119E-3,-1.55944040E-3,-7.99979141E-4,-2.25799275E-4,
420.00,-1.60556324E-2,-4.68709879E-3,-1.58586458E-3,-1.52874214E-3,-1.36051897E-3,-1.26604002E-3,
430.00,6.92816079E-3,2.38654995E-3,9.85101797E-4,2.46919197E-4,1.01610822E-4,7.44163190E-5,
440.00,4.87550488E-3,1.47416361E-3,4.64951328E-4,2.65395007E-4,2.63852795E-4,2.13578605E-4,
450.00,4.53303335E-3,1.42860797E-3,6.35612640E-4,4.59061906E-4,1.46166112E-5,9.62324484E-5,
460.00,4.98364959E-3,1.00564619E-3,4.44155739E-4,7.98445399E-5,9.28689187E-5,-1.17973846E-4,
470.00,4.58466541E-3,1.46431266E-3,4.66201658E-4,4.32970992E-4,2.93793273E-4,3.72425799E-4,
480.00,3.36909411E-3,1.08908501E-3,3.33557691E-4,7.93713843E-5,1.43096404E-4,-7.49913161E-5,
490.00,2.20134738E-3,5.86830312E-4,2.33795741E-4,-1.06283369E-4,1.52526743E-4,-1.44898895E-5,
