Sliced MOF 3 O2 300 700 nm 10 us Delta OD

Labels,0.000 ns,300.000 ns,600.000 ns,900.000 ns,1200.000 ns,1500.000 ns,1800.000 ns,2100.000 ns,2400.000 ns,2700.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

300.00,3.20143299E-5,2.07049743E-5,-2.26646021E-4,-1.56959886E-5,-1.83540287E-5,-9.72299677E-5,-6.67926914E-4,2.35442174E-4,5.48346288E-5,7.54871799E-5,
310.00,7.84850388E-4,6.89445005E-4,5.25268086E-4,-1.03227394E-4,2.51363381E-4,2.69984099E-4,2.68203061E-4,1.07941974E-4,-4.89979830E-5,2.78283609E-4,
320.00,1.18047034E-3,5.11875376E-4,-5.06045508E-5,-3.86182619E-5,1.57858245E-4,5.57124258E-5,-3.50420742E-4,-5.51679886E-6,1.33608395E-4,1.41425926E-6,
330.00,1.17162988E-3,6.32872572E-4,2.79628643E-4,1.08924207E-4,3.13290831E-4,-4.91334795E-5,9.62828126E-5,3.13504461E-5,1.84493751E-4,2.40777779E-4,
340.00,1.27077952E-3,4.16505965E-4,1.85331592E-4,1.65701873E-4,3.92911134E-5,6.43975818E-6,1.65217498E-4,9.48444285E-5,1.38751027E-4,2.49225239E-4,
350.00,7.81545416E-4,3.58915830E-4,1.44053352E-4,5.84275840E-5,-1.73131208E-4,-1.32878777E-4,-5.46118754E-5,-1.22336802E-4,1.87328278E-5,-7.13921545E-5,
360.00,6.77868491E-4,1.29990920E-4,1.32177811E-4,-2.59574765E-4,-5.13402571E-4,-9.97419120E-5,-3.83760605E-4,-2.45165633E-4,-2.28937242E-5,-2.89353426E-4,
