Sliced VMOF  Air 300 700 nm 40 us Delta OD

Labels,0.000 us,0.500 us,1.000 us,1.500 us,2.000 us,2.500 us,3.000 us,3.500 us,4.000 us,4.500 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

300.00,2.02967343E-3,7.69953913E-5,1.26129063E-3,1.79055543E-3,1.67860751E-4,1.57937908E-3,6.66429929E-4,4.78354574E-4,9.91508248E-4,8.31442478E-4,
310.00,8.56133585E-4,8.87861068E-4,-6.17631595E-4,9.91178793E-4,2.06666118E-6,1.29458713E-4,3.91854293E-4,4.69271356E-4,-1.27975945E-4,2.53453152E-4,
320.00,8.19322129E-4,1.07647292E-3,4.52590320E-4,-4.72666288E-4,6.70547015E-4,-4.31900480E-5,-2.64287693E-4,2.39862333E-4,-1.80393705E-4,-4.01205878E-4,
330.00,1.42151886E-3,1.47898344E-3,6.39720820E-4,5.57854888E-4,-7.75905937E-5,1.53532892E-5,3.26763868E-4,-1.04616287E-4,1.37641488E-4,5.20628702E-4,
340.00,8.54047597E-4,5.53520513E-4,2.79736967E-4,4.51193220E-4,1.16390838E-4,-1.27961021E-5,-1.10418718E-4,-3.53451323E-4,-3.60553066E-4,-7.56436842E-4,
350.00,1.00228214E-3,7.34846864E-4,4.49304964E-4,8.21401831E-4,7.81649491E-4,5.20870308E-5,2.58423184E-4,6.10157440E-4,1.77147434E-4,7.49560713E-4,
360.00,1.36260397E-3,1.13905512E-3,5.21231676E-4,5.70542819E-4,7.71023915E-4,2.21107650E-4,4.91030456E-4,5.34813793E-4,1.17236043E-4,4.85624943E-4,
370.00,8.15371983E-4,1.13261002E-3,6.65908854E-4,6.90328772E-4,1.35173948E-4,1.97261805E-4,2.54682178E-4,3.06047121E-4,2.97827966E-4,2.47366697E-4,
