Sliced VMOF  O2 300 700 nm 10 us Delta OD

Labels,0.000 ns,200.000 ns,400.000 ns,600.000 ns,800.000 ns,1000.000 ns,1200.000 ns,1400.000 ns,1600.000 ns,1800.000 ns,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,,,

300.00,1.43686475E-5,4.24044294E-4,7.48841383E-4,-3.55824654E-4,-3.42024403E-4,1.08709454E-3,1.99881135E-4,2.47785647E-4,9.50618181E-4,5.06743614E-4,
310.00,1.44711626E-3,4.43880534E-4,-2.24921805E-5,2.57055217E-6,2.67764379E-4,3.77467164E-4,5.70476230E-4,2.96013517E-4,9.87259671E-4,-7.63350763E-5,
320.00,6.87210471E-4,-3.18503662E-5,2.03089265E-4,3.38632206E-4,7.21452700E-4,5.89064497E-4,8.58822314E-5,7.05204220E-5,7.33492270E-5,-3.24951601E-4,
330.00,9.91427107E-4,4.37057228E-4,6.33456046E-4,-9.66758307E-5,3.49061738E-4,4.56186652E-4,-1.43858224E-5,1.03455794E-4,2.88324605E-4,5.75094949E-4,
340.00,4.17280971E-4,2.83562491E-4,4.48876162E-5,-2.05331438E-4,6.36271625E-6,-4.47201965E-5,6.11283176E-5,-1.73461027E-4,-8.44437236E-5,-2.23758165E-4,
350.00,2.82270863E-4,9.93892245E-5,8.37644548E-5,1.45851154E-4,1.06668500E-4,-3.89390407E-5,-1.14664661E-4,1.48354418E-4,-5.82394096E-5,-3.18621867E-4,
360.00,3.10837728E-4,3.62503575E-4,2.08228303E-4,2.80399312E-4,4.24668833E-5,6.57769924E-5,1.55165040E-7,4.90589118E-5,9.17370417E-5,2.34278443E-4,
