Labels,VMOF  Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-1.42012746E-3,
4.00,1.53226568E-3,
8.00,-4.44040494E-3,
12.00,-2.39056331E-4,
16.00,-3.21200863E-3,
20.00,3.60135688E-4,
24.00,3.79841251E-4,
28.00,-2.18078261E-4,
32.00,2.15305947E-3,
36.00,-8.15491192E-4,
40.00,6.32994063E-3,
44.00,-8.10814847E-4,
48.00,2.74210307E-3,
52.00,6.90836366E-3,
56.00,-2.61887629E-3,
60.00,-3.81214661E-3,
64.00,-1.43008854E-3,
68.00,-3.79088707E-3,
72.00,-4.97573055E-3,
76.00,4.56631929E-3,
80.00,1.57385180E-3,
84.00,2.78502540E-3,
88.00,3.92410177E-4,
92.00,2.13907869E-3,
96.00,2.17842543E-3,
100.00,-3.23943840E-3,
104.00,-3.79522750E-3,
108.00,-8.40465305E-4,
112.00,9.32290859E-4,
116.00,-2.60505313E-3,
120.00,9.70888359E-4,
124.00,2.13723071E-3,
128.00,-2.32055434E-4,
132.00,-3.79055599E-3,
136.00,-3.22362874E-3,
140.00,1.55075267E-3,
144.00,-2.62277527E-3,
148.00,-2.05053273E-3,
152.00,-2.05930206E-3,
156.00,2.15972285E-3,
160.00,5.15973335E-3,
164.00,-2.01247470E-3,
168.00,2.75427476E-3,
172.00,2.16073147E-3,
176.00,1.58818485E-3,
180.00,-1.38420658E-3,
184.00,1.57440559E-3,
188.00,-2.57726526E-4,
192.00,-8.00778344E-3,
196.00,-2.60069501E-4,
200.00,9.40865662E-4,
204.00,4.53978451E-3,
208.00,-2.59930827E-3,
212.00,-8.45052127E-4,
216.00,-1.98452547E-3,
220.00,1.56036369E-3,
224.00,4.56238771E-3,
228.00,-1.42845581E-3,
232.00,-1.88117832E-4,
236.00,-4.43235319E-3,
240.00,-3.22398427E-3,
244.00,3.96109885E-3,
248.00,3.42956133E-4,
252.00,6.31592097E-3,
256.00,-5.59441699E-3,
260.00,-4.44953749E-3,
264.00,-1.41266047E-3,
268.00,-2.60018045E-4,
272.00,2.13718531E-3,
276.00,-2.64792750E-3,
280.00,3.53678595E-4,
284.00,-1.49089238E-3,
288.00,1.59708841E-3,
292.00,3.96239012E-3,
296.00,1.56069640E-3,
300.00,-2.41330490E-4,
304.00,9.73457063E-4,
308.00,-4.42312425E-3,
312.00,4.52507613E-3,
316.00,3.96454614E-3,
320.00,-3.25244339E-3,
324.00,1.55987195E-3,
328.00,-1.48454867E-3,
332.00,-1.43081567E-3,
336.00,-3.80487391E-3,
340.00,3.30648781E-3,
344.00,8.71029031E-3,
348.00,9.34818876E-4,
352.00,1.55616493E-3,
356.00,9.75567498E-4,
360.00,3.31221824E-3,
364.00,5.14416583E-3,
368.00,3.44373489E-4,
372.00,9.68204637E-4,
376.00,-5.62902074E-3,
380.00,-2.05465942E-3,
384.00,3.76938377E-4,
388.00,-4.99479845E-3,
392.00,1.54618698E-3,
396.00,-8.55971011E-4,
400.00,-8.26388365E-4,
404.00,-3.81163252E-3,
408.00,3.35467933E-3,
412.00,2.74776993E-3,
416.00,9.58864752E-4,
420.00,2.74597807E-3,
424.00,2.78685847E-3,
428.00,-4.37226053E-3,
432.00,-2.27584285E-4,
436.00,-2.01264862E-3,
440.00,-1.43812434E-3,
444.00,-1.43150648E-3,
448.00,6.34641293E-3,
452.00,2.14182748E-3,
456.00,-2.03602109E-3,
460.00,-8.48158088E-4,
464.00,-2.00824253E-3,
468.00,4.55183582E-3,
472.00,-2.08830112E-4,
476.00,-1.98929757E-3,
480.00,-3.19401873E-3,
484.00,3.41165898E-4,
488.00,-1.42681727E-3,
492.00,1.56972057E-3,
496.00,3.97527032E-3,
500.00,-2.41439804E-4,
504.00,2.77762045E-3,
508.00,-1.47236593E-3,
512.00,-5.57101332E-3,
516.00,2.74955248E-3,
520.00,2.76624062E-3,
524.00,-7.93762854E-4,
528.00,2.15479056E-3,
532.00,-3.78624746E-3,
536.00,-8.35702405E-4,
540.00,3.94486822E-3,
544.00,1.03120820E-3,
548.00,-2.00335192E-3,
552.00,3.97053128E-3,
556.00,1.54667150E-3,
560.00,9.63539816E-4,
564.00,-2.01248168E-3,
568.00,-8.38824839E-4,
572.00,-1.45690597E-3,
576.00,3.55368393E-4,
580.00,-3.20850220E-3,
584.00,2.74961116E-3,
588.00,9.71486093E-4,
592.00,2.16241484E-3,
596.00,2.14645546E-3,
600.00,-2.22813309E-4,
604.00,9.57531680E-4,
608.00,-8.12324928E-4,
612.00,3.98455327E-3,
616.00,2.78407056E-3,
620.00,-2.62747775E-3,
624.00,2.16146233E-3,
628.00,3.52195784E-4,
632.00,2.14743242E-3,
636.00,3.47519264E-4,
640.00,4.55337251E-3,
644.00,2.16612383E-3,
648.00,-3.21962615E-3,
652.00,2.16412311E-3,
656.00,4.58898628E-3,
660.00,-3.19064036E-3,
664.00,5.73351840E-3,
668.00,-4.43476392E-3,
672.00,-8.04673473E-4,
676.00,-8.37182219E-4,
680.00,-7.96882145E-4,
684.00,-3.20333987E-3,
688.00,1.56492181E-3,
692.00,-2.63779890E-3,
696.00,-1.41521497E-3,
700.00,2.74312915E-3,
704.00,2.76543503E-3,
708.00,2.15674471E-3,
712.00,3.38331982E-3,
716.00,-2.25062860E-4,
720.00,3.92292766E-3,
724.00,-3.26252123E-3,
728.00,2.16241484E-3,
732.00,1.55146781E-3,
736.00,-2.69394746E-4,
740.00,2.73232604E-3,
744.00,1.01945002E-3,
748.00,2.74710567E-3,
752.00,-4.99329157E-3,
756.00,-1.41317642E-3,
760.00,-2.15790657E-4,
764.00,-8.43554793E-4,
768.00,-3.22909374E-3,
772.00,2.15404062E-3,
776.00,1.57903321E-3,
780.00,-3.22540081E-3,
784.00,1.56521529E-3,
788.00,3.35352076E-3,
792.00,-4.99735866E-3,
796.00,5.13236970E-3,
800.00,-1.98917207E-3,
804.00,-2.22918301E-4,
808.00,9.96189774E-4,
812.00,1.56989961E-3,
816.00,-2.59128446E-3,
820.00,-2.56897928E-3,
824.00,3.85050604E-4,
828.00,1.52767042E-3,
832.00,1.58022635E-3,
836.00,-8.73372308E-4,
840.00,3.76949902E-4,
844.00,1.58777914E-3,
848.00,2.74961116E-3,
852.00,-2.00801902E-3,
856.00,3.34281311E-3,
860.00,-1.41762348E-3,
864.00,9.76198469E-4,
