Labels,VMOF  O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-1.96138653E-3,
1.00,-1.76035974E-3,
2.00,-5.50708268E-4,
3.00,6.72528622E-5,
4.00,5.93999321E-5,
5.00,-1.36906269E-3,
6.00,8.67792463E-4,
7.00,-1.36185394E-4,
8.00,-1.14414864E-3,
9.00,1.27410761E-3,
10.00,-7.63287069E-4,
11.00,6.57621655E-4,
12.00,-2.14974792E-3,
13.00,4.85468336E-4,
14.00,-1.67731909E-4,
15.00,-1.55926973E-3,
16.00,5.62106616E-5,
17.00,-7.30222091E-4,
18.00,7.82953357E-5,
19.00,-9.64745821E-4,
20.00,-7.34937203E-4,
21.00,-7.56980560E-4,
22.00,-1.26742059E-4,
23.00,5.62106616E-5,
24.00,-7.45989091E-4,
25.00,4.80739953E-4,
26.00,4.44420642E-4,
27.00,2.77138082E-4,
28.00,1.47663802E-3,
29.00,1.07010338E-3,
30.00,6.54488278E-4,
31.00,1.10173982E-3,
32.00,-5.19159541E-4,
33.00,4.79173905E-4,
34.00,4.82306030E-4,
35.00,8.59864755E-4,
36.00,1.06850499E-3,
37.00,2.66060437E-4,
38.00,6.62382110E-4,
39.00,4.49178740E-4,
40.00,8.55132355E-4,
41.00,-1.12516500E-4,
42.00,1.28994812E-3,
43.00,-1.32815610E-3,
44.00,-7.88482022E-4,
45.00,2.08476651E-3,
46.00,1.69351755E-3,
47.00,1.07170164E-3,
48.00,3.10252246E-4,
49.00,-3.31652613E-4,
50.00,-9.69488465E-4,
51.00,-5.31779311E-4,
52.00,-5.50678233E-4,
53.00,-3.23776709E-4,
54.00,5.62106616E-5,
55.00,-2.55604391E-3,
56.00,-1.59697747E-3,
57.00,7.05017243E-4,
58.00,-7.27128703E-4,
59.00,6.82900660E-4,
60.00,-7.39682349E-4,
61.00,-3.42684682E-4,
62.00,4.71253297E-4,
63.00,4.60230920E-4,
64.00,6.48161280E-4,
65.00,-3.52153409E-4,
66.00,8.83588044E-4,
67.00,6.84497645E-4,
68.00,-3.48997186E-4,
69.00,1.65235554E-3,
70.00,7.05017243E-4,
71.00,-1.33027614E-4,
72.00,5.15465974E-4,
73.00,-5.30216901E-4,
74.00,-7.30222091E-4,
75.00,2.47096672E-4,
76.00,1.27884455E-3,
77.00,8.63059948E-4,
78.00,2.39180285E-4,
79.00,-1.16461108E-3,
80.00,-1.14414864E-3,
81.00,6.52891467E-4,
82.00,-1.36747328E-3,
83.00,4.50744701E-4,
84.00,-9.08100628E-4,
85.00,-7.64848664E-4,
86.00,6.73409610E-4,
87.00,5.14568856E-5,
88.00,3.00769316E-4,
89.00,2.75512546E-4,
90.00,2.26708082E-3,
91.00,2.50257232E-4,
92.00,2.70756369E-4,
93.00,-7.44367368E-4,
94.00,4.63362929E-4,
95.00,1.48140744E-3,
96.00,2.62869638E-4,
97.00,1.09380786E-3,
98.00,-2.17019301E-3,
99.00,2.91316654E-4,
100.00,2.45531439E-4,
101.00,-3.44277854E-4,
102.00,2.67655851E-4,
103.00,2.46501804E-5,
104.00,-1.32659648E-3,
105.00,6.62382110E-4,
106.00,-7.55418965E-4,
107.00,-3.28526337E-4,
108.00,-3.52183444E-4,
109.00,-1.44064717E-4,
110.00,-1.47252504E-4,
111.00,8.67792463E-4,
112.00,1.25199219E-3,
113.00,1.52415328E-3,
114.00,1.28204282E-3,
115.00,8.75660044E-4,
116.00,1.44343474E-3,
117.00,-3.31652613E-4,
118.00,2.49228277E-3,
119.00,-5.61674708E-4,
120.00,-7.50673993E-4,
121.00,-1.74151338E-3,
122.00,2.59739085E-4,
123.00,-1.31088053E-3,
124.00,-3.74216208E-4,
125.00,6.52921561E-4,
126.00,-1.14726904E-3,
127.00,-1.72578252E-3,
128.00,-1.29899883E-4,
129.00,1.06536853E-3,
130.00,5.69694112E-6,
131.00,-2.13723490E-3,
132.00,4.77577705E-4,
133.00,-3.67904053E-4,
134.00,-7.39682349E-4,
135.00,-2.14028847E-3,
136.00,8.55102204E-4,
137.00,-7.16046314E-4,
138.00,-2.35059462E-3,
139.00,-3.31682677E-4,
140.00,2.73947197E-4,
141.00,4.82977630E-5,
142.00,-7.58542214E-4,
143.00,-1.23584206E-4,
144.00,-5.47523494E-4,
145.00,-9.33317235E-4,
146.00,-1.55101545E-4,
147.00,8.51937220E-4,
148.00,1.09383801E-3,
149.00,1.08120148E-3,
150.00,-1.33760332E-3,
151.00,-9.58472316E-4,
152.00,-3.60028789E-4,
153.00,2.70786462E-4,
154.00,4.71283391E-4,
155.00,-3.56902718E-4,
156.00,-7.41213968E-4,
157.00,-1.23584206E-4,
158.00,8.46140465E-5,
159.00,1.48457696E-3,
160.00,2.75512546E-4,
161.00,6.56581906E-5,
162.00,-1.31244014E-3,
163.00,-1.55768101E-3,
164.00,-1.51838106E-3,
165.00,-1.56868203E-3,
166.00,1.05586916E-3,
167.00,-5.30186866E-4,
168.00,-1.25178165E-4,
169.00,-5.56987710E-4,
170.00,-7.53857312E-4,
171.00,6.56581906E-5,
172.00,6.82900660E-4,
173.00,1.06539880E-3,
174.00,-1.37779323E-4,
175.00,-7.39682349E-4,
176.00,2.99233972E-4,
177.00,-5.52240585E-4,
178.00,2.81834102E-4,
179.00,1.08910305E-3,
180.00,-5.50678233E-4,
181.00,2.51822465E-4,
182.00,8.78825202E-4,
183.00,4.82977630E-5,
184.00,2.64495146E-4,
185.00,-3.20650346E-4,
186.00,1.48931623E-3,
187.00,8.77287821E-4,
188.00,2.53417820E-4,
189.00,6.57651806E-4,
190.00,2.77107960E-4,
191.00,1.67769252E-3,
192.00,8.55102204E-4,
193.00,6.71842834E-4,
194.00,8.93380929E-5,
195.00,7.51360203E-5,
196.00,1.49882527E-3,
197.00,1.66343839E-3,
198.00,2.73947197E-4,
199.00,1.86615053E-3,
200.00,7.98900510E-5,
201.00,2.73917103E-4,
202.00,8.53534788E-4,
203.00,5.13929932E-4,
204.00,-3.37965292E-4,
205.00,6.73409610E-4,
206.00,4.68121230E-4,
207.00,4.98622794E-5,
208.00,8.67762312E-4,
209.00,2.23468349E-4,
210.00,-2.14034831E-3,
211.00,1.09860324E-3,
212.00,-9.69518500E-4,
213.00,-3.56872653E-4,
214.00,6.59218524E-4,
215.00,1.23932085E-3,
216.00,1.88198243E-3,
