Labels,MOF 2 430nm 1000 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

0.00,-8.71059485E-3,
100.00,4.61801467E-3,
200.00,-4.05249011E-5,
300.00,-2.72250175E-3,
400.00,-1.37734425E-3,
500.00,1.28471723E-3,
600.00,-1.38194603E-3,
700.00,-5.35151362E-3,
800.00,-2.02927808E-3,
900.00,-4.81713287E-5,
1000.00,4.62272298E-3,
1100.00,-4.70204605E-3,
1200.00,-1.38194603E-3,
1300.00,1.95089402E-3,
1400.00,4.60888911E-3,
1500.00,-7.02528865E-4,
1600.00,-7.24053418E-4,
1700.00,2.61955964E-3,
1800.00,-3.38662951E-3,
1900.00,6.18093065E-4,
2000.00,-2.04602419E-3,
2100.00,-7.06030987E-4,
2200.00,6.19529979E-4,
2300.00,6.62110746E-3,
2400.00,1.95288321E-3,
2500.00,2.61649676E-3,
2600.00,-3.36365565E-3,
2700.00,-2.71583418E-3,
2800.00,5.26486570E-3,
2900.00,-8.64757132E-3,
3000.00,2.61802576E-3,
3100.00,-7.09643064E-4,
3200.00,-5.06362849E-5,
3300.00,9.28902999E-3,
3400.00,6.11850875E-4,
3500.00,1.28471723E-3,
3600.00,3.28016630E-3,
3700.00,-5.06859542E-5,
3800.00,-4.81215429E-5,
3900.00,-3.36360605E-3,
4000.00,-2.04045791E-3,
4100.00,5.26486570E-3,
4200.00,-2.04045791E-3,
4300.00,2.61497195E-3,
4400.00,-7.33640883E-3,
4500.00,-5.35151362E-3,
4600.00,-6.03298098E-3,
4700.00,-4.04969277E-3,
4800.00,6.18043414E-4,
4900.00,3.94984987E-3,
5000.00,1.95084454E-3,
5100.00,-4.05846210E-3,
5200.00,6.60584169E-3,
5300.00,-2.04045791E-3,
5400.00,5.29865967E-3,
5500.00,5.25372196E-3,
5600.00,-3.38662951E-3,
5700.00,-4.30164619E-5,
5800.00,-7.16801267E-4,
5900.00,3.95342894E-3,
6000.00,-5.99791855E-3,
6100.00,-4.02374566E-3,
6200.00,1.95186073E-3,
6300.00,1.28625589E-3,
6400.00,-5.32582671E-5,
6500.00,-7.35005969E-3,
6600.00,-4.80719464E-5,
6700.00,-9.43649746E-3,
6800.00,1.28727383E-3,
6900.00,1.28620630E-3,
7000.00,-2.69590481E-3,
7100.00,3.93564254E-3,
7200.00,6.21111132E-4,
7300.00,-5.37284091E-3,
7400.00,-3.35604441E-3,
7500.00,-1.36367290E-3,
7600.00,1.28523167E-3,
7700.00,2.61350162E-3,
7800.00,3.28521407E-3,
7900.00,-3.36360605E-3,
8000.00,-4.74102562E-3,
8100.00,-1.38199585E-3,
8200.00,1.28523167E-3,
8300.00,1.28676556E-3,
8400.00,1.28579431E-3,
8500.00,3.28006735E-3,
8600.00,-3.78930672E-5,
8700.00,2.61654612E-3,
8800.00,1.28579431E-3,
8900.00,1.28625589E-3,
9000.00,-4.04969277E-3,
9100.00,-3.78930672E-5,
9200.00,-2.04045791E-3,
9300.00,1.28574460E-3,
9400.00,-1.36362365E-3,
9500.00,6.27190690E-4,
9600.00,-4.73128585E-3,
9700.00,-7.20396929E-4,
9800.00,-2.03480991E-3,
9900.00,-2.06302479E-3,
1E04,-3.38662951E-3,
1.01E04,-4.01513278E-3,
1.02E04,5.92445442E-3,
1.03E04,6.21111132E-4,
1.04E04,3.28271114E-3,
1.05E04,-2.01263535E-3,
1.06E04,1.28625589E-3,
1.07E04,-2.04607355E-3,
1.08E04,3.27757979E-3,
1.09E04,-2.72918935E-3,
1.1E04,-7.06179359E-4,
1.11E04,1.95186073E-3,
1.12E04,-3.99793638E-3,
1.13E04,-2.72913976E-3,
1.14E04,-4.30164619E-5,
1.15E04,-1.36367290E-3,
1.16E04,-2.03485973E-3,
1.17E04,-4.04261664E-5,
1.18E04,-7.16801267E-4,
1.19E04,2.61955964E-3,
1.2E04,-3.98940174E-3,
1.21E04,-7.20396638E-4,
1.22E04,1.28671608E-3,
1.23E04,-1.36362365E-3,
1.24E04,-5.06859542E-5,
1.25E04,-7.09692773E-4,
1.26E04,-1.38651195E-3,
1.27E04,-1.37729489E-3,
1.28E04,-4.04100120E-3,
1.29E04,-1.39119173E-3,
1.3E04,3.93917831E-3,
1.31E04,-1.37734460E-3,
1.32E04,6.19629282E-4,
1.33E04,5.26491506E-3,
1.34E04,6.21111132E-4,
1.35E04,6.24160224E-4,
1.36E04,-1.36823300E-3,
1.37E04,-7.20346987E-4,
1.38E04,1.28625589E-3,
1.39E04,-4.54659566E-5,
1.4E04,1.28732319E-3,
1.41E04,2.61802576E-3,
1.42E04,-4.80719464E-5,
1.43E04,6.21111132E-4,
1.44E04,-4.80719464E-5,
1.45E04,-1.37734425E-3,
1.46E04,-5.84267436E-5,
1.47E04,-2.69595440E-3,
1.48E04,-1.37275667E-3,
1.49E04,6.24209584E-4,
1.5E04,-1.36823265E-3,
1.51E04,-7.06080406E-4,
1.52E04,-7.13266490E-4,
1.53E04,-1.36818294E-3,
1.54E04,1.95191032E-3,
1.55E04,-7.06129998E-4,
1.56E04,-2.02376326E-3,
1.57E04,-6.95507100E-4,
1.58E04,-5.36213582E-3,
1.59E04,2.61345226E-3,
1.6E04,3.93917831E-3,
1.61E04,-7.09692773E-4,
1.62E04,2.61955964E-3,
1.63E04,1.28523167E-3,
1.64E04,-4.68273507E-3,
1.65E04,-4.67312336E-3,
1.66E04,-6.66664774E-3,
1.67E04,4.61346982E-3,
1.68E04,1.28778035E-3,
1.69E04,4.61806450E-3,
1.7E04,1.28569489E-3,
1.71E04,-7.24053418E-4,
1.72E04,3.96423228E-3,
1.73E04,4.60888911E-3,
1.74E04,1.28523167E-3,
1.75E04,-2.04040855E-3,
1.76E04,-3.34840664E-3,
1.77E04,-2.68280180E-3,
1.78E04,-4.68278397E-3,
1.79E04,1.28574460E-3,
1.8E04,1.95247051E-3,
1.81E04,-2.02927808E-3,
1.82E04,1.95242092E-3,
1.83E04,-4.30164619E-5,
1.84E04,4.61342046E-3,
1.85E04,6.18093065E-4,
1.86E04,1.28727383E-3,
1.87E04,5.28168492E-3,
1.88E04,-3.40201333E-3,
1.89E04,-3.37124057E-3,
1.9E04,-4.80719464E-5,
1.91E04,-4.01503406E-3,
1.92E04,3.28777451E-3,
1.93E04,3.93917831E-3,
1.94E04,1.28466741E-3,
1.95E04,1.28471723E-3,
