Sliced MOF 2 300 700nm 1000 us Delta OD

Labels,0.000 us,100.000 us,200.000 us,300.000 us,400.000 us,500.000 us,600.000 us,700.000 us,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,,,
Start,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,
Stop,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,
Step,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
Fixed/Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,Delta OD,
Scan Corr. by File,False,False,False,False,False,False,False,False,
Corr. by Ref. Det.,False,False,False,False,False,False,False,False,
Fixed/Offset Corr. by File,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Repeats,0,0,0,0,0,0,0,0,
Dwell Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Lamp,,,,,,,,,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,None,None,
Scan Slit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Fixed/Offset Polariser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Fixed/Offset Slit,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Detector,,,,,,,,,

300.00,1.13905827E-3,8.90288269E-4,2.23199560E-4,-1.37248906E-4,-1.24427970E-4,-1.95023575E-4,6.72437833E-4,1.67022902E-3,
310.00,-5.77979255E-4,-1.38241355E-3,-1.40968757E-3,-1.38536049E-3,-1.31375389E-3,-1.36167731E-3,-1.54650339E-3,-1.84322044E-3,
320.00,-7.66308978E-4,-9.33511648E-4,-1.04071258E-3,-8.11211008E-4,-9.92210465E-4,-7.37229711E-4,-6.25671586E-4,-8.13651423E-4,
330.00,-1.05900079E-4,2.82265937E-5,1.02286476E-5,6.69533756E-6,2.70532590E-4,7.36152113E-4,4.27141145E-4,4.97453264E-4,
340.00,-3.44142143E-4,-4.79078182E-4,-3.66262218E-4,5.17047556E-5,-1.09445566E-4,3.69483256E-4,2.41701782E-4,3.00571264E-4,
350.00,-4.81109193E-4,-4.67008416E-4,-6.20630803E-4,-7.28971791E-4,-1.92394757E-4,-2.44223425E-4,4.21479308E-5,-7.69586914E-5,
360.00,2.00494669E-5,-2.16501008E-4,-7.52652937E-4,-4.53826826E-4,-3.76864278E-4,1.23044258E-4,-2.09606718E-4,-8.80113366E-5,
370.00,7.03271653E-5,-3.32770956E-4,-1.92798412E-4,-1.39380994E-4,-3.11523327E-4,-2.46195938E-4,-3.19857372E-6,4.13705537E-4,
380.00,-3.84017447E-4,-5.44456590E-4,-4.72498068E-4,-4.90534992E-4,-7.54679146E-4,-5.51467238E-4,-4.02621139E-4,-1.23152888E-4,
390.00,-3.61402308E-5,-1.81479336E-4,-3.54849122E-4,-4.08325141E-4,-4.40709206E-4,-4.51774162E-4,-2.51174759E-4,-7.05561542E-5,
400.00,-2.69488693E-4,-3.75496951E-4,-4.41109092E-4,-7.40615185E-4,-6.99743279E-4,-6.94299932E-4,-5.80415886E-4,-4.64482873E-4,
410.00,-3.12592165E-4,-3.09621770E-4,-4.25522216E-4,-3.08284361E-4,-3.91374808E-4,-2.41918169E-4,-1.80349773E-4,-3.32005118E-4,
420.00,-5.23686234E-4,-1.45863465E-4,-3.14828590E-4,-3.78292549E-4,-5.51272824E-4,-3.79773614E-4,-4.21016361E-4,-2.68457632E-4,
430.00,-2.65661889E-4,-5.89579460E-4,-4.50989406E-4,-7.17900868E-4,-4.17830684E-4,-8.99632723E-5,6.20597420E-5,1.45414333E-5,
440.00,-2.80325534E-4,-3.62370891E-4,-6.14654855E-4,-2.64055765E-4,-4.06402323E-5,-1.52707595E-4,-2.09318277E-5,-1.58268958E-4,
450.00,-2.94618891E-4,-2.13309904E-4,-2.16179382E-4,-2.31502388E-4,1.19076729E-4,2.01627525E-4,9.39669826E-6,2.61336128E-4,
460.00,-3.98514763E-4,-3.23917251E-4,-4.54022113E-4,-3.94397619E-4,-2.03657459E-4,-9.27694236E-6,1.29665612E-4,2.59496919E-5,
470.00,-6.78496872E-5,1.77733382E-4,1.34224019E-5,3.78552286E-5,5.49304168E-5,1.76311354E-4,2.44788826E-4,3.72633600E-4,
480.00,-3.95770941E-4,-2.15371256E-4,-3.58650082E-4,-1.80760078E-4,-8.12055732E-5,-3.75737159E-6,1.02789170E-4,6.36958212E-5,
490.00,-3.15673649E-4,-4.91957704E-4,-4.76465269E-4,-2.32299906E-4,-2.95450678E-4,3.48026952E-5,1.03300932E-4,3.18908511E-4,
500.00,1.51116517E-4,-1.24814760E-5,-1.13190814E-4,-3.29345639E-4,-7.25688005E-5,-2.02971234E-4,1.72084037E-5,4.30446700E-4,
510.00,1.97180520E-6,-4.67392056E-5,4.87822072E-5,-6.02580949E-5,1.25193794E-4,7.47864397E-5,1.84730452E-4,1.14364346E-4,
520.00,-2.61810725E-4,-6.32417505E-4,-6.86662155E-4,-8.36307183E-4,-6.90501998E-4,-6.33855932E-4,-2.88294919E-4,-2.86664610E-4,
530.00,2.66817631E-4,2.11108461E-4,2.63376442E-5,-4.12862209E-5,-1.71259508E-5,3.27990201E-5,-1.21387144E-4,1.90056767E-6,
540.00,-3.18958249E-4,-3.15221609E-4,-2.06326527E-4,-2.53824779E-4,-4.53793415E-4,-3.63355357E-4,-2.15081207E-4,-8.05577947E-5,
550.00,-2.34853636E-4,-1.52665874E-4,-3.55414988E-4,-3.75993113E-4,-3.77474644E-4,-5.64424372E-5,-1.62636483E-4,-4.52819877E-5,
560.00,-7.88752368E-6,-8.11660448E-6,-1.85216559E-4,5.30585457E-5,2.16094355E-4,-4.34744725E-5,1.70527041E-4,4.24889498E-4,
570.00,-6.01561915E-4,-7.97463756E-4,-9.36883560E-4,-7.60377734E-4,-9.51806433E-4,-7.62469892E-4,-6.08823553E-4,-5.96565253E-4,
580.00,-3.01297056E-4,-5.10426238E-4,-5.57474152E-4,-1.76329399E-4,-2.18665416E-4,7.27636652E-5,1.81614319E-4,4.80359711E-4,
590.00,6.65917760E-5,7.62418858E-5,2.22924253E-4,1.65235935E-4,1.78170631E-5,3.32229160E-4,7.73013278E-4,9.49644251E-4,
600.00,5.91250318E-5,1.00148391E-4,5.97887738E-5,2.04527503E-4,2.59907742E-4,7.56442430E-4,6.34717988E-4,7.32185435E-4,
610.00,-4.56516791E-5,-3.46521556E-4,-5.57002313E-5,-3.37468955E-5,-8.36517574E-5,-1.06645726E-4,2.69955082E-4,5.47239557E-4,
620.00,-4.11109504E-4,-1.11011206E-3,-1.54635031E-3,-1.61324360E-3,-1.78199809E-3,-1.81115174E-3,-1.57629594E-3,-2.16486491E-3,
630.00,1.09377674E-4,2.10917875E-4,7.36908754E-4,1.17373082E-3,2.12085107E-3,2.59880302E-3,3.42341559E-3,3.71904369E-3,
640.00,-4.53056491E-5,-6.12404547E-4,-8.26831500E-4,-5.96865022E-4,-3.62709223E-4,-1.34562841E-4,1.46898645E-4,8.43322559E-5,
650.00,-3.50754242E-4,-2.46521638E-4,-1.46965293E-4,-2.05879900E-4,1.09225548E-4,2.77963729E-4,1.18946358E-4,4.86482313E-4,
660.00,1.35076043E-4,-3.14167439E-4,-4.54042980E-4,-8.31366109E-4,-3.40031082E-4,1.17900458E-6,-8.03668081E-5,-1.51358336E-5,
670.00,-1.63808302E-3,-1.38195627E-3,-1.71960937E-3,-1.31933531E-3,-1.08085421E-3,-7.05102051E-4,-7.02456222E-4,-1.12392113E-3,
680.00,-7.04297563E-4,-9.47457738E-4,-9.93595575E-4,-1.05521223E-3,-6.83348044E-4,-5.37582731E-4,-5.30134828E-4,-9.51809998E-5,
690.00,6.35533506E-5,4.14883805E-4,1.63791323E-4,-1.73984572E-5,7.16945156E-4,1.28524553E-3,1.24889484E-3,1.39042072E-3,
700.00,5.97152044E-4,6.43320265E-4,6.32856565E-4,-1.25185048E-4,1.49866910E-5,-8.71280063E-5,-5.00318129E-4,-7.52854161E-4,
